,Event,Start Time,Stop Time,date
0,53x_1,2023-04-07 18:27:12.632516864,2023-04-07 18:37:41.013865728,2023-04-07
1,536_power_1,2023-04-07 18:48:41.462851328,2023-04-07 18:55:36.216562944,2023-04-07
2,536_pos_1,2023-04-07 19:07:48.525145856,2023-04-07 19:14:24.962607104,2023-04-07
3,536_pos_power_1,2023-04-07 19:23:31.914889216,2023-04-07 19:29:55.789679360,2023-04-07
4,53x_2,2023-04-07 20:09:18.329255936,2023-04-07 20:20:22.380046080,2023-04-07
5,536_pos_power_2,2023-04-07 20:27:36.420328192,2023-04-07 20:34:33.244465664,2023-04-07
0,53x_1,2023-05-12 18:16:48.261678592,2023-05-12 18:32:36.863491584,2023-05-12
1,536_power_1,2023-05-12 18:43:17.456574208,2023-05-12 18:49:10.660837376,2023-05-12
2,536_pos_1,2023-05-12 18:58:29.752899328,2023-05-12 19:04:19.365444608,2023-05-12
3,53x_2,2023-05-12 19:17:32.277055232,2023-05-12 19:20:57.800882432,2023-05-12
0,53x_1,2023-05-18 21:44:30.206302208,2023-05-18 22:11:50.342727424,2023-05-18
1,536_pos_1,2023-05-18 22:23:40.311973632,2023-05-18 22:30:24.041209344,2023-05-18
2,536_pos_2,2023-05-18 22:45:54.021163264,2023-05-18 22:52:46.240658176,2023-05-18
3,536_power_1,2023-05-18 23:09:04.970842112,2023-05-18 23:15:56.197201408,2023-05-18
0,5x3_pos_1,2023-05-24 19:52:00.585509888,2023-05-24 20:43:18.018344704,2023-05-24
1,5x6_pos_1,2023-05-24 21:03:27.465978368,2023-05-24 21:10:02.652448768,2023-05-24
2,516_pos_1,2023-05-24 21:27:46.370306560,2023-05-24 21:34:12.893369344,2023-05-24
3,536_power_1,2023-05-24 21:44:24.529469952,2023-05-24 21:51:08.021764096,2023-05-24
4,53x_1,2023-05-24 22:04:03.706209536,2023-05-24 22:31:24.377969408,2023-05-24
