Event,Start Time,Stop Time
fullpower_before,2023-04-07 15:21:50.148918528,2023-04-07 15:25:36.358643456
fwsweep_before,2023-04-07 15:28:35.125656576,2023-04-07 15:30:10.106620928
fullpower_before,2023-04-07 15:45:02.614826752,2023-04-07 15:46:25.068051200
fullpower_after,2023-04-07 20:47:39.279340800,2023-04-07 20:52:03.444971520
fwsweep_after,2023-04-07 20:52:07.769639936,2023-04-07 20:54:41.528044800
fwsweep_before,2023-05-12 14:46:38.423243008,2023-05-12 14:49:22.175452160
fwsweep_before,2023-05-12 14:50:29.686475008,2023-05-12 14:53:08.009026816
fullpower_before,2023-05-12 14:42:54.713532160,2023-05-12 14:45:55.150919680
fullpower_after,2023-05-12 20:57:51.695266048,2023-05-12 20:59:50.241994752
fwsweep_after,2023-05-12 21:01:44.556837888,2023-05-12 21:03:56.120673280
fwsweep_after,2023-05-12 21:06:10.684348672,2023-05-12 21:13:02.839146240
fullpower_after,2023-05-12 21:24:16.236833024,2023-05-12 21:25:32.886770944
fwsweep_after,2023-05-12 21:25:48.957352704,2023-05-12 21:28:37.800988928
fwsweep_before,2023-05-18 19:37:26.915773952,2023-05-18 19:41:12.909931264
fwsweep_before,2023-05-18 19:41:26.669138688,2023-05-18 19:42:31.322156800
fullpower_after,2023-05-19 00:35:29.043580416,2023-05-19 00:37:27.187886848
fwsweep_after,2023-05-19 00:39:46.006208000,2023-05-19 00:47:01.350671360
fullpower_before,2023-05-24 17:45:00.795669760,2023-05-24 17:46:34.466932736
fwsweep_after,2023-05-24 23:04:06.169916416,2023-05-24 23:13:38.355041024
