Event,Start Time,Stop Time
,2023-05-24 22:30:46.848460544,2023-05-24 22:31:23.825758464
,2023-05-24 22:28:45.606438144,2023-05-24 22:30:25.259696896
,2023-05-24 22:26:07.517955840,2023-05-24 22:28:12.169685248
,2023-05-24 22:23:03.006802944,2023-05-24 22:25:31.856716032
,2023-05-24 22:20:36.305312512,2023-05-24 22:22:24.320790272
,2023-05-24 22:17:27.257000448,2023-05-24 22:20:02.156459008
,2023-05-24 22:14:00.0,2023-05-24 22:16:28.311747584
,2023-05-24 22:03:56.919517440,2023-05-24 22:09:47.604752640
,2023-05-18 23:10:13.281796352,2023-05-18 23:15:50.530271744
,2023-05-18 22:46:55.436689152,2023-05-18 22:52:32.685164544
,2023-05-18 22:24:34.213155840,2023-05-18 22:30:11.461630976
,2023-05-18 22:11:35.666513920,2023-05-18 22:11:54.418635264
,2023-05-18 22:10:01.830208256,2023-05-18 22:11:11.275506176
,2023-05-18 22:07:53.479399168,2023-05-18 22:09:35.282044416
,2023-05-18 22:04:57.612128000,2023-05-18 22:07:22.838791168
,2023-05-18 22:02:24.542466048,2023-05-18 22:04:32.399521536
,2023-05-18 21:51:13.138162432,2023-05-18 22:01:40.374707456
,2023-05-18 21:45:42.321212416,2023-05-18 21:50:01.689309440
,2023-05-18 21:37:20.927732480,2023-05-18 21:41:40.295829248
,2023-05-12 19:19:45.625340160,2023-05-12 19:21:03.588419072
,2023-05-12 19:18:41.731151616,2023-05-12 19:19:24.0
,2023-05-12 19:17:29.476975616,2023-05-12 19:18:23.0
,2023-05-12 18:58:34.647041792,2023-05-12 19:04:58.943940352
,2023-05-12 18:43:00.089028864,2023-05-12 18:49:24.385927680
,2023-05-12 18:31:42.191601920,2023-05-12 18:32:41.254475008
,2023-05-12 18:29:58.0,2023-05-12 18:31:19.677600256
,2023-05-12 18:27:54.885980416,2023-05-12 18:29:28.485048832
,2023-05-12 18:26:03.092387584,2023-05-12 18:27:36.691456000
,2023-05-12 18:22:53.163488512,2023-05-12 18:25:37.685373696
,2023-05-12 18:19:18.794104832,2023-05-12 18:22:24.488274944
,2023-05-12 18:13:32.097941504,2023-05-12 18:18:42.179284992
,2023-05-12 18:11:18.870135808,2023-05-12 18:13:02.866380544
,2023-04-07 20:29:12.948317440,2023-04-07 20:34:18.919955456
,2023-04-07 20:18:25.462673664,2023-04-07 20:20:20.105118464
,2023-04-07 20:13:22.329546752,2023-04-07 20:16:16.447793408
,2023-04-07 20:09:17.302072576,2023-04-07 20:11:26.381779968
,2023-04-07 20:04:13.189409536,2023-04-07 20:06:22.516359680
,2023-04-07 19:24:27.920891904,2023-04-07 19:29:45.112164608
,2023-04-07 19:09:16.956160256,2023-04-07 19:14:34.147432704
,2023-04-07 18:49:36.601079808,2023-04-07 18:55:22.149230848
,2023-04-07 18:34:29.180957696,2023-04-07 18:37:56.489324800
,2023-04-07 18:29:59.790609408,2023-04-07 18:33:41.277415168
,2023-04-07 18:23:08.615866624,2023-04-07 18:29:11.887066880
,2023-04-07 18:14:33.341632000,2023-04-07 18:20:36.612832000
