Event,Start Time,Stop Time
nan,2023-05-24 20:25:01.773185280,2023-05-24 20:31:54.860520704
nan,2023-05-24 20:17:03.725776896,2023-05-24 20:24:38.876625664
nan,2023-05-24 20:09:00.781035520,2023-05-24 20:16:47.285434112
nan,2023-05-24 20:00:33.433954304,2023-05-24 20:08:41.078046976
nan,2023-05-24 19:50:32.202557696,2023-05-24 20:00:17.979320320
nan,2023-05-24 19:30:31.760762880,2023-05-24 19:35:22.652849408
nan,2023-05-24 19:24:51.408923136,2023-05-24 19:30:22.071193088
nan,2023-05-24 19:16:32.706586624,2023-05-24 19:24:35.207354112
nan,2023-05-24 19:04:35.925734144,2023-05-24 19:12:45.581046784
nan,2023-05-24 19:12:57.768904960,2023-05-24 19:16:18.986470144
,2023-05-24 21:05:35.682157824,2023-05-24 21:06:28.266461184
,2023-05-24 21:09:48.525990144,2023-05-24 21:10:21.769243392
,2023-05-24 21:08:25.799331072,2023-05-24 21:09:31.413885696
,2023-05-24 21:07:04.722210048,2023-05-24 21:07:57.306513408
,2023-05-24 21:03:24.655739392,2023-05-24 21:04:39.681031936
