Event,Start Time,Stop Time
5x3,2023-05-24 20:25:01.773185280,2023-05-24 20:31:54.860520704
5x3,2023-05-24 20:17:03.725776896,2023-05-24 20:24:38.876625664
5x3,2023-05-24 20:09:00.781035520,2023-05-24 20:16:47.285434112
5x3,2023-05-24 20:00:33.433954304,2023-05-24 20:08:41.078046976
5x3,2023-05-24 19:50:32.202557696,2023-05-24 20:00:17.979320320
5x0,2023-05-24 19:30:31.760762880,2023-05-24 19:35:22.652849408
5x0,2023-05-24 19:24:51.408923136,2023-05-24 19:30:22.071193088
5x0,2023-05-24 19:16:32.706586624,2023-05-24 19:24:35.207354112
5x0,2023-05-24 19:04:35.925734144,2023-05-24 19:12:45.581046784
5x0,2023-05-24 19:12:57.768904960,2023-05-24 19:16:18.986470144
53x_1,2023-05-24 20:33:08.535885056,2023-05-24 20:43:39.326994688
53x_1,2023-05-24 20:44:23.884756480,2023-05-24 20:45:36.835115776
53x_1,2023-05-24 20:45:51.944974080,2023-05-24 20:46:20.991200256
5x6,2023-05-24 21:09:41.773673472,2023-05-24 21:10:22.049279488
5x6,2023-05-24 21:08:09.596404480,2023-05-24 21:09:34.495399424
5x6,2023-05-24 21:06:33.156602880,2023-05-24 21:07:58.055597824
5x6,2023-05-24 21:04:48.058531584,2023-05-24 21:06:25.212307712
5x6,2023-05-24 21:03:16.014466816,2023-05-24 21:04:41.579482112
516_pos,2023-05-24 21:27:46.370306560,2023-05-24 21:34:12.893369344
536_power,2023-05-24 21:44:24.529469952,2023-05-24 21:51:08.021764096
53x_2,2023-05-24 22:30:43.579806976,2023-05-24 22:31:24.124510720
53x_2,2023-05-24 22:28:34.457828864,2023-05-24 22:30:24.060715008
53x_2,2023-05-24 22:25:47.759033088,2023-05-24 22:28:19.580674304
53x_2,2023-05-24 22:22:35.576017408,2023-05-24 22:25:39.501457664
53x_2,2023-05-24 22:20:23.642596864,2023-05-24 22:22:27.318441984
53x_2,2023-05-24 22:17:00.025351424,2023-05-24 22:20:14.945243648
53x_2,2023-05-24 22:10:23.675483648,2023-05-24 22:16:49.312113152
53x_2,2023-05-24 21:59:10.725952256,2023-05-24 22:10:12.315849216
