"F.E. Spencer, Jr., A.V. Phelps, “Momentum Transfer Cross-Sections and Conductivity Integrals for Gases of MHD Interest”, 1976, SEAM 15",,,,,,,,,,,,,,,,,,,,,,,,
Energy,Energy,Temperature,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section
Energy,Energy,Temperature,Ar,CO,CO2,H,H2,H2O,K,KOH,O,OH,O2,Ar,CO,CO2,H,H2,H2O,K,KOH,O,OH,O2
[ev],[J],[K],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[m^2],[m^2],[m^2],[m^2],[m^2],[m^2],[m^2],[m^2],[m^2],[m^2],[m^2]
0,0,0,7.5,60,600,39.6,6.4,383.4021845,676,180000,,40000,0.35,7.50E-20,6.00E-19,6.00E-18,3.96E-19,6.40E-20,3.83E-18,6.76E-18,1.80E-15,0,4.00E-16,3.50E-21
0.001,1.60E-22,9.106065663,7.5,40,540,40.4,6.4,381.3421321,350,180000,,26400,0.35,7.50E-20,4.00E-19,5.40E-18,4.04E-19,6.40E-20,3.81E-18,3.50E-18,1.80E-15,0,2.64E-16,3.50E-21
0.002,3.20E-22,18.21213133,7.1,25,380,40.6,6.5,379.2909294,243,90000,,13200,0.36,7.10E-20,2.50E-19,3.80E-18,4.06E-19,6.50E-20,3.79E-18,2.43E-18,9.00E-16,0,1.32E-16,3.60E-21
0.003,4.80E-22,27.31819699,6.7,17.7,307,40.8,6.6,377.248556,189,60000,,8800,0.4,6.70E-20,1.77E-19,3.07E-18,4.08E-19,6.60E-20,3.77E-18,1.89E-18,6.00E-16,0,8.80E-17,4.00E-21
0.005,8.00E-22,45.53032831,6.1,14,237,41.1,6.8,373.1902153,200,36000,,5280,0.5,6.10E-20,1.40E-19,2.37E-18,4.11E-19,6.80E-20,3.73E-18,2.00E-18,3.60E-16,0,5.28E-17,5.00E-21
0.007,1.12E-21,63.74245964,5.4,9.8,200,41.3,7.1,369.1669464,433,25700,,3800,0.58,5.40E-20,9.80E-20,2.00E-18,4.13E-19,7.10E-20,3.69E-18,4.33E-18,2.57E-16,0,3.80E-17,5.80E-21
0.0085,1.36E-21,77.40155813,5.05,8.6,182,41.4,7.2,366.1724121,680,21200,,3100,0.64,5.05E-20,8.60E-20,1.82E-18,4.14E-19,7.20E-20,3.66E-18,6.80E-18,2.12E-16,0,3.10E-17,6.40E-21
0.01,1.60E-21,91.06065663,4.6,7.8,170,41.5,7.3,363.1974446,1776,18000,,2640,0.7,4.60E-20,7.80E-20,1.70E-18,4.15E-19,7.30E-20,3.63E-18,1.78E-17,1.80E-16,0,2.64E-17,7.00E-21
0.015,2.40E-21,136.5909849,3.75,6.5,138,41.6,7.7,353.4213153,7200,12000,,1700,0.87,3.75E-20,6.50E-20,1.38E-18,4.16E-19,7.70E-20,3.53E-18,7.20E-17,1.20E-16,0,1.70E-17,8.70E-21
0.02,3.20E-21,182.1213133,3.25,5.9,120,41.8,8,343.8592705,4300,9000,,1300,0.99,3.25E-20,5.90E-20,1.20E-18,4.18E-19,8.00E-20,3.44E-18,4.30E-17,9.00E-17,0,1.30E-17,9.90E-21
0.03,4.80E-21,273.1819699,2.5,5.4,97,41.84,8.5,325.367207,1840,6000,,850,1.24,2.50E-20,5.40E-20,9.70E-19,4.18E-19,8.50E-20,3.25E-18,1.84E-17,6.00E-17,0,8.50E-18,1.24E-20
